,text,ActualLabel,PredictedLabel
0,"This meeting was about the future of social media. Firstly, the group discussed the current trends in the social media market, including the rise in the use of the internet and the trend-watching. Secondly, they talked about the current trend in the market for the internet, which was largely focused on the young and old people's different tastes. Thirdly, they discussed the role of the Internet in the current political climate, and the future directions of the society. Lastly, they agreed that the market should be more focused on young people and less on old people.",2,3
1,"This is the second meeting about future of social media. First, the group discussed the role of social media as a useful platform and tool for young people. They also discussed the current trend in the market and future direction of young people's lives. Then, the discussion moved onto the topic of young trans kids and how they would like to make their lives better. They talked about how they could help their young trans friends to make sure they were on the right track. Finally, they talked about the future of their group and future plans.",2,3
2,"The group was moving to a new building across the street and were moving in three weeks. The group discussed the logistics of the new building. First, the group decided to organise their group into three groups: the phd students, the professor, and the graduate student. Next, they decided what kind of equipment they should have in their new building and how they should design it. Lastly, they discussed how they could make their group more efficient by making sure they had enough money for the cost control.",3,0
3,"This meeting was about the design of the new building. First, the group decided to put two people room in the middle with only one window, so they would have to pay attention to the colour of the building. Next, they decided to place the first para meter, the first one was a para meter to choose people to put in their offices. Then, they agreed to put the second one as well as the third one. Lastly, they discussed how they would make the building more comfortable for all of them.",1,0
4,The meeting was about the new office space in the university building. The team first discussed how they would use the space they had been waiting for. The professor thought that they should make it better for the team to work on their next projects. The group also discussed how to make sure that the team would have enough room for all their work. The meeting ended with a group discussion about how they could make their new office better. The professor suggested that the group should make their next project better.,0,1
5,"This meeting was about the design of the new rooms in new building. First, the group discussed the logistics of putting four people in one of the 23 person rooms: one person, two person and three person rooms. Next, they discussed how to deal with the storage of the equipment. They agreed that they should keep the cost under twelve and a half Euros per room, but they would have to pay attention to the cost control. Lastly, they agreed that the room should be well-lit and that it should be easy to use.",1,0
6,This is the first meeting of the new remote control project. Project Manager introduced the team members to the project and asked them to come up with a new design for the remote control. The team agreed to make the new product more user-friendly and to make it a remote control for all age groups. The meeting ended with a group discussion about the working design of the product. The group agreed that the product should be a working design with a wide range of functions and should be suitable for all ages groups.,1,2
7,"This meeting was about the working design of the new remote control. First, the group discussed the three presentations from the three team members: from the group's point of view, from the user interface's perspective, and from the industrial design's perspective. They agreed that they should make the product only for TV and that the corporate image should be the final thing to be added to the product. Then, the team discussed the project requirements: the design of components, system, and interface design. The group agreed that the product should be only for television and should be priced at twelve and a half Euros.",1,2
8,"This meeting was about the design of the new remote control product. Firstly, the group discussed the market requirements of the product: young people would like to have a high-tech design with fewer buttons than most of the controls on the market. Next, they talked about the working design of their product: it would be a remote control with LCD screen and voice recognition. Lastly, they discussed the product requirements: the remote control would be good-looking, easy to use, and would be priced at twelve fifty Euros.",1,2
9,"This meeting was about the conceptual design of the remote control. First, the group discussed the components design. They decided to have the, the logo, the company logo in its colour scheme in its own colour scheme. Next, they discussed the technical requirements. The group agreed that the product should be simple to use, but they wanted it to be more expensive. Lastly, they made some decisions about the product design, like the colour scheme, the material, the battery, and the buttons.",1,2
10,This meeting was about technical issues that the team had to deal with within the backdrop project. First the team introduced the technical lead for the backdrop C MS project who was introducing the D two B migration model. Next the group discussed technical issues with the D-two B module which was responsible for migration to the database. Lastly the meeting ended with a group discussion about the future of the project including future ideas for future work. The group agreed that more work should be done on the background project.,0,1
11,This is the first time that the team has hosted a release kickoff at Git Lab. The meeting was about the Glab 16.7 monthly release kickoff for November. First the team discussed the current status of the core platforms group. Next the group discussed the future direction of the project including future directions and future work on data science. Lastly the meeting ended with a group discussion about the Deaf section of the web which was mainly about the improvements in the interface design.,0,1
12,The group product manager introduced the product leaders for the SEC and data science sections. The team was working on a world-class Cops experience with a focus on first class usability and A I powered workflows. They were also working on an interface for the data science section. The meeting ended with a general discussion about the future direction of the project including future work on the Cops project and future directions of the C-zero project. The group also discussed the future of the team and their work on C-one and C-two.,0,1
13,This meeting was about the logistics of the group meeting. The team was trying to figure out how they could make their group meeting more efficient. The professor suggested that they should make the meeting more interactive and asked the team members to share their knowledge about their work. The meeting ended with a general discussion about the future of the project. The group discussed how they would like to make their meeting more useful. They agreed to make it more interactive by making it more accessible to all members of the team.,0,1
14,"The meeting was about the architecture design of the GIT lab's new DSS project. The group first discussed the design of an architecture design document that would cover the future of the DSS. They discussed how they could further improve the current architecture. The meeting ended with a general discussion about future work on the project, including future directions for the project and future work in general. The final meeting was focused on future work, including a new project manager's role and the future direction of the project.",0,1
15,"The meeting was about the performance of the D-goal. The team was reminded that they had to be very careful about the quality of their work. The professor thought that they should make sure that their work was up to standard and that they were doing a good job of it. The group also discussed how they could make their work better. The final meeting ended with a group discussion about the future directions of the project, including the future direction of the team and future work on the project.",0,1
16,"The meeting was about the progress of their work on the Aurora project. The group discussed Aurora's progress and future directions. The professor thought that Aurora should create a shared document with some organization to share the work they had done. The team agreed that Aurora's performance should be measured against the criteria they had set for Aurora, but they were not sure how they could make their work better. The meeting ended with a general discussion about Aurora's future directions and future work on Aurora's project.",0,1
17,"The meeting was about the Weekly Sync for the New Diffs project. The team was working on an architecture workflow for the architecture. The professor thought that they should make the team more efficient by making sure that they would not only focus on the architecture, but also on the design of the interface and the interface design. The group also discussed how they could make the project more efficient. The meeting ended with a general discussion about the current status of the project, including the progress of the team's work and future directions.",0,1
18,"This is the second meeting of the group. First, the group discussed the logistics of the new time zone. They discussed how to deal with the different time zones of the time zones. Then, they discussed how they could make their work better by making it easier for people to share their work with the world. Lastly, they talked about how to make the new diffs architecture better for the group and how they would make it easier to share ideas about their work and future work with other groups.",0,1
19,"This meeting was about the progress of the team's work on the DS project. The team first discussed the technical matters, then moved onto a discussion about how they would make their work more efficient. The final decision was made that the team should focus on the service side rendering, but the team was not sure what they should do to make it better. Finally, the meeting ended with a brief discussion about the future of the project, which was mainly about future work and future thoughts on the project.",0,1
20,"This was the second meeting of the new D-goal group. The meeting was about the architecture of the database. First, the group discussed the scroll issues that the team had to deal with. Next, they discussed the logistics of adding the blueprint to the documentation. The group also discussed how they could make their database more robust. Lastly, the meeting ended with a general discussion about the future of the project, including future work on the database and future thoughts about the team's work in general.",0,1
21,"This was the final meeting of the interface project. The team first discussed the accessibility issue. The group also discussed the requirements for the interface, such as how to deal with different kinds of data and how to handle different types of data. The final meeting ended with a general discussion about the future of the project, including future work on the interface and future directions for the team's work. The group agreed that the interface should be up to standard and that it should be a good-looking and user-friendly interface.",0,1
